!ModelVer:100
!ReleaseDate:20180202
!Factor1|Factor2|VarCovar|DataDate
CNE5S_BETA|CNE5S_BETA| 3.04260966E+01|20180202
CNE5S_BETA|CNE5S_MOMENTUM|-7.65597717E+00|20180202
CNE5S_BETA|CNE5S_SIZE|-1.18375275E+01|20180202
CNE5S_BETA|CNE5S_EARNYILD| 4.45223716E-01|20180202
CNE5S_BETA|CNE5S_RESVOL| 1.12052045E+01|20180202
CNE5S_BETA|CNE5S_GROWTH| 3.02158188E-01|20180202
CNE5S_BETA|CNE5S_BTOP| 8.50316833E-01|20180202
CNE5S_BETA|CNE5S_LEVERAGE| 6.26751138E-02|20180202
CNE5S_BETA|CNE5S_LIQUIDTY| 1.58223882E+00|20180202
CNE5S_BETA|CNE5S_SIZENL| 2.58478999E+00|20180202
CNE5S_BETA|CNE5S_ENERGY| 2.27720765E+00|20180202
CNE5S_BETA|CNE5S_CHEM| 3.22027609E+00|20180202
CNE5S_BETA|CNE5S_CONMAT| 2.58415603E+00|20180202
CNE5S_BETA|CNE5S_MTLMIN| 3.95146244E+00|20180202
CNE5S_BETA|CNE5S_MATERIAL|-1.82891306E+00|20180202
CNE5S_BETA|CNE5S_AERODEF| 1.67444234E+01|20180202
CNE5S_BETA|CNE5S_BLDPROD| 2.26200601E-02|20180202
CNE5S_BETA|CNE5S_CNSTENG|-5.12796493E+00|20180202
CNE5S_BETA|CNE5S_ELECEQP| 2.54898525E+00|20180202
CNE5S_BETA|CNE5S_INDCONG| 1.01806750E+01|20180202
CNE5S_BETA|CNE5S_MACH| 2.45972494E+00|20180202
CNE5S_BETA|CNE5S_TRDDIST| 1.41119838E+00|20180202
CNE5S_BETA|CNE5S_COMSERV| 2.24850180E+00|20180202
CNE5S_BETA|CNE5S_AIRLINE|-6.86696032E+00|20180202
CNE5S_BETA|CNE5S_MARINE|-7.12787795E+00|20180202
CNE5S_BETA|CNE5S_RDRLTRAN| 5.57703793E-01|20180202
CNE5S_BETA|CNE5S_AUTO| 3.79691698E+00|20180202
CNE5S_BETA|CNE5S_HOUSEDUR|-2.11024810E+00|20180202
CNE5S_BETA|CNE5S_LEISLUX| 3.69953958E-01|20180202
CNE5S_BETA|CNE5S_CONSSERV| 2.55862231E+00|20180202
CNE5S_BETA|CNE5S_MEDIA| 3.16401587E+00|20180202
CNE5S_BETA|CNE5S_RETAIL| 1.67433201E+00|20180202
CNE5S_BETA|CNE5S_PERSPRD| 4.13459757E+00|20180202
CNE5S_BETA|CNE5S_BEV| 1.56240084E+00|20180202
CNE5S_BETA|CNE5S_FOODPROD| 1.72531980E-01|20180202
CNE5S_BETA|CNE5S_HEALTH| 3.94962278E+00|20180202
CNE5S_BETA|CNE5S_BANKS|-1.08023956E+01|20180202
CNE5S_BETA|CNE5S_DVFININS| 2.03830332E+00|20180202
CNE5S_BETA|CNE5S_REALEST|-1.63205064E+00|20180202
CNE5S_BETA|CNE5S_SOFTWARE|-2.43083729E+00|20180202
CNE5S_BETA|CNE5S_HDWRSEMI| 4.09930032E+00|20180202
CNE5S_BETA|CNE5S_UTILITIE| 2.16253927E+00|20180202
CNE5S_BETA|CNE5S_COUNTRY| 6.14847439E+01|20180202
CNE5S_MOMENTUM|CNE5S_MOMENTUM| 1.57286897E+01|20180202
CNE5S_MOMENTUM|CNE5S_SIZE| 5.37004938E+00|20180202
CNE5S_MOMENTUM|CNE5S_EARNYILD|-1.75772711E-01|20180202
CNE5S_MOMENTUM|CNE5S_RESVOL|-3.12624833E+00|20180202
CNE5S_MOMENTUM|CNE5S_GROWTH| 9.18679964E-01|20180202
CNE5S_MOMENTUM|CNE5S_BTOP|-3.32178989E-01|20180202
CNE5S_MOMENTUM|CNE5S_LEVERAGE|-7.45104908E-01|20180202
CNE5S_MOMENTUM|CNE5S_LIQUIDTY|-2.87487633E-01|20180202
CNE5S_MOMENTUM|CNE5S_SIZENL|-9.75741697E-02|20180202
CNE5S_MOMENTUM|CNE5S_ENERGY|-1.28687299E+00|20180202
CNE5S_MOMENTUM|CNE5S_CHEM|-1.77117928E+00|20180202
CNE5S_MOMENTUM|CNE5S_CONMAT|-2.74928533E+00|20180202
CNE5S_MOMENTUM|CNE5S_MTLMIN|-4.07213445E+00|20180202
CNE5S_MOMENTUM|CNE5S_MATERIAL|-8.36854137E-01|20180202
CNE5S_MOMENTUM|CNE5S_AERODEF|-8.97368006E+00|20180202
CNE5S_MOMENTUM|CNE5S_BLDPROD|-4.84571634E-01|20180202
CNE5S_MOMENTUM|CNE5S_CNSTENG| 1.93975098E+00|20180202
CNE5S_MOMENTUM|CNE5S_ELECEQP|-1.83752078E-01|20180202
CNE5S_MOMENTUM|CNE5S_INDCONG|-8.80968890E+00|20180202
CNE5S_MOMENTUM|CNE5S_MACH|-1.09566155E+00|20180202
CNE5S_MOMENTUM|CNE5S_TRDDIST|-3.31597110E+00|20180202
CNE5S_MOMENTUM|CNE5S_COMSERV|-8.50336187E-01|20180202
CNE5S_MOMENTUM|CNE5S_AIRLINE| 2.08681118E+00|20180202
CNE5S_MOMENTUM|CNE5S_MARINE|-2.23112586E+00|20180202
CNE5S_MOMENTUM|CNE5S_RDRLTRAN|-3.59393330E+00|20180202
CNE5S_MOMENTUM|CNE5S_AUTO|-3.28866438E+00|20180202
CNE5S_MOMENTUM|CNE5S_HOUSEDUR| 6.53012043E-01|20180202
CNE5S_MOMENTUM|CNE5S_LEISLUX|-5.56413150E-01|20180202
CNE5S_MOMENTUM|CNE5S_CONSSERV| 1.09797733E+00|20180202
CNE5S_MOMENTUM|CNE5S_MEDIA| 1.26794019E+00|20180202
CNE5S_MOMENTUM|CNE5S_RETAIL|-1.21236258E+00|20180202
CNE5S_MOMENTUM|CNE5S_PERSPRD| 6.09700849E-02|20180202
CNE5S_MOMENTUM|CNE5S_BEV|-1.01039723E+00|20180202
CNE5S_MOMENTUM|CNE5S_FOODPROD|-3.60910993E-02|20180202
