!ModelVer:100
!ReleaseDate:20180202
!Factor1|Factor2|VarCovar|DataDate
CNE5S_BETA|CNE5S_BETA| 2.74579199E+01|20180202
CNE5S_BETA|CNE5S_MOMENTUM|-7.09574498E+00|20180202
CNE5S_BETA|CNE5S_SIZE|-1.07787059E+01|20180202
CNE5S_BETA|CNE5S_EARNYILD| 4.02644616E-01|20180202
CNE5S_BETA|CNE5S_RESVOL| 1.03192968E+01|20180202
CNE5S_BETA|CNE5S_GROWTH| 3.52231653E-01|20180202
CNE5S_BETA|CNE5S_BTOP| 7.18077812E-01|20180202
CNE5S_BETA|CNE5S_LEVERAGE|-5.03750856E-03|20180202
CNE5S_BETA|CNE5S_LIQUIDTY| 1.30075366E+00|20180202
CNE5S_BETA|CNE5S_SIZENL| 2.38340532E+00|20180202
CNE5S_BETA|CNE5S_ENERGY| 1.07541877E+00|20180202
CNE5S_BETA|CNE5S_CHEM| 3.06531909E+00|20180202
CNE5S_BETA|CNE5S_CONMAT| 2.42703520E+00|20180202
CNE5S_BETA|CNE5S_MTLMIN| 2.70700771E+00|20180202
CNE5S_BETA|CNE5S_MATERIAL|-1.49474986E+00|20180202
CNE5S_BETA|CNE5S_AERODEF| 1.76393882E+01|20180202
CNE5S_BETA|CNE5S_BLDPROD| 2.66606296E-01|20180202
CNE5S_BETA|CNE5S_CNSTENG|-4.73349414E+00|20180202
CNE5S_BETA|CNE5S_ELECEQP| 2.49024530E+00|20180202
CNE5S_BETA|CNE5S_INDCONG| 1.02918329E+01|20180202
CNE5S_BETA|CNE5S_MACH| 2.50712345E+00|20180202
CNE5S_BETA|CNE5S_TRDDIST| 1.48689197E+00|20180202
CNE5S_BETA|CNE5S_COMSERV| 2.42874973E+00|20180202
CNE5S_BETA|CNE5S_AIRLINE|-7.42688309E+00|20180202
CNE5S_BETA|CNE5S_MARINE|-7.79686166E+00|20180202
CNE5S_BETA|CNE5S_RDRLTRAN| 2.47363594E-01|20180202
