!ModelVer:100
!ReleaseDate:20180202
!Factor1|Factor2|VarCovar|DataDate
CNE5S_BETA|CNE5S_BETA| 2.77260442E+01|20180202
CNE5S_BETA|CNE5S_MOMENTUM|-6.97657553E+00|20180202
CNE5S_BETA|CNE5S_SIZE|-1.07870495E+01|20180202
CNE5S_BETA|CNE5S_EARNYILD| 4.05713969E-01|20180202
CNE5S_BETA|CNE5S_RESVOL| 1.02108397E+01|20180202
CNE5S_BETA|CNE5S_GROWTH| 2.75344267E-01|20180202
CNE5S_BETA|CNE5S_BTOP| 7.74858582E-01|20180202
CNE5S_BETA|CNE5S_LEVERAGE| 5.71132405E-02|20180202
CNE5S_BETA|CNE5S_LIQUIDTY| 1.44182883E+00|20180202
CNE5S_BETA|CNE5S_SIZENL| 2.35541227E+00|20180202
CNE5S_BETA|CNE5S_ENERGY| 2.07512520E+00|20180202
CNE5S_BETA|CNE5S_CHEM| 2.93450449E+00|20180202
CNE5S_BETA|CNE5S_CONMAT| 2.35483457E+00|20180202
CNE5S_BETA|CNE5S_MTLMIN| 3.60080439E+00|20180202
CNE5S_BETA|CNE5S_MATERIAL|-1.66661287E+00|20180202
CNE5S_BETA|CNE5S_AERODEF| 1.52585009E+01|20180202
CNE5S_BETA|CNE5S_BLDPROD| 2.06127257E-02|20180202
CNE5S_BETA|CNE5S_CNSTENG|-4.67290248E+00|20180202
CNE5S_BETA|CNE5S_ELECEQP| 2.32278489E+00|20180202
CNE5S_BETA|CNE5S_INDCONG| 9.27722834E+00|20180202
CNE5S_BETA|CNE5S_MACH| 2.24144566E+00|20180202
CNE5S_BETA|CNE5S_TRDDIST| 1.28596675E+00|20180202
CNE5S_BETA|CNE5S_COMSERV| 2.04896674E+00|20180202
CNE5S_BETA|CNE5S_AIRLINE|-6.25757709E+00|20180202
CNE5S_BETA|CNE5S_MARINE|-6.49534055E+00|20180202
CNE5S_BETA|CNE5S_RDRLTRAN| 5.08212414E-01|20180202
CNE5S_BETA|CNE5S_AUTO| 3.45997350E+00|20180202
CNE5S_BETA|CNE5S_HOUSEDUR|-1.92298186E+00|20180202
CNE5S_BETA|CNE5S_LEISLUX| 3.37123750E-01|20180202
CNE5S_BETA|CNE5S_CONSSERV| 2.33156675E+00|20180202
CNE5S_BETA|CNE5S_MEDIA| 2.88323687E+00|20180202
CNE5S_BETA|CNE5S_RETAIL| 1.52574955E+00|20180202
CNE5S_BETA|CNE5S_PERSPRD| 3.76768786E+00|20180202
CNE5S_BETA|CNE5S_BEV| 1.42375130E+00|20180202
CNE5S_BETA|CNE5S_FOODPROD| 1.57221262E-01|20180202
CNE5S_BETA|CNE5S_HEALTH| 3.59912798E+00|20180202
CNE5S_BETA|CNE5S_BANKS|-9.84377659E+00|20180202
CNE5S_BETA|CNE5S_DVFININS| 1.85742156E+00|20180202
CNE5S_BETA|CNE5S_REALEST|-1.48722029E+00|20180202
CNE5S_BETA|CNE5S_SOFTWARE|-2.21512154E+00|20180202
CNE5S_BETA|CNE5S_HDWRSEMI| 3.73552294E+00|20180202
CNE5S_BETA|CNE5S_UTILITIE| 1.97063265E+00|20180202
CNE5S_BETA|CNE5S_COUNTRY| 5.60285056E+01|20180202
CNE5S_MOMENTUM|CNE5S_MOMENTUM| 1.43329048E+01|20180202
CNE5S_MOMENTUM|CNE5S_SIZE| 4.89350403E+00|20180202
CNE5S_MOMENTUM|CNE5S_EARNYILD|-1.60174406E-01|20180202
CNE5S_MOMENTUM|CNE5S_RESVOL|-2.84882088E+00|20180202
CNE5S_MOMENTUM|CNE5S_GROWTH| 8.37155078E-01|20180202
CNE5S_MOMENTUM|CNE5S_BTOP|-3.02700982E-01|20180202
CNE5S_MOMENTUM|CNE5S_LEVERAGE|-6.78983304E-01|20180202
CNE5S_MOMENTUM|CNE5S_LIQUIDTY|-2.61975597E-01|20180202
CNE5S_MOMENTUM|CNE5S_SIZENL|-8.89153076E-02|20180202
CNE5S_MOMENTUM|CNE5S_ENERGY|-1.17267417E+00|20180202
CNE5S_MOMENTUM|CNE5S_CHEM|-1.61400247E+00|20180202
CNE5S_MOMENTUM|CNE5S_CONMAT|-2.50531008E+00|20180202
CNE5S_MOMENTUM|CNE5S_MTLMIN|-3.71076780E+00|20180202
CNE5S_MOMENTUM|CNE5S_MATERIAL|-7.62590583E-01|20180202
CNE5S_MOMENTUM|CNE5S_AERODEF|-8.17734371E+00|20180202
CNE5S_MOMENTUM|CNE5S_BLDPROD|-4.41570100E-01|20180202
CNE5S_MOMENTUM|CNE5S_CNSTENG| 1.76761489E+00|20180202
CNE5S_MOMENTUM|CNE5S_ELECEQP|-1.67445673E-01|20180202
CNE5S_MOMENTUM|CNE5S_INDCONG|-8.02790535E+00|20180202
CNE5S_MOMENTUM|CNE5S_MACH|-9.98431085E-01|20180202
CNE5S_MOMENTUM|CNE5S_TRDDIST|-3.02170740E+00|20180202
CNE5S_MOMENTUM|CNE5S_COMSERV|-7.74876218E-01|20180202
CNE5S_MOMENTUM|CNE5S_AIRLINE| 1.90162477E+00|20180202
CNE5S_MOMENTUM|CNE5S_MARINE|-2.03313277E+00|20180202
CNE5S_MOMENTUM|CNE5S_RDRLTRAN|-3.27500286E+00|20180202
CNE5S_MOMENTUM|CNE5S_AUTO|-2.99682391E+00|20180202
CNE5S_MOMENTUM|CNE5S_HOUSEDUR| 5.95062882E-01|20180202
CNE5S_MOMENTUM|CNE5S_LEISLUX|-5.07036304E-01|20180202
CNE5S_MOMENTUM|CNE5S_CONSSERV| 1.00054136E+00|20180202
CNE5S_MOMENTUM|CNE5S_MEDIA| 1.15542148E+00|20180202
CNE5S_MOMENTUM|CNE5S_RETAIL|-1.10477591E+00|20180202
CNE5S_MOMENTUM|CNE5S_PERSPRD| 5.55595182E-02|20180202
CNE5S_MOMENTUM|CNE5S_BEV|-9.20733235E-01|20180202
CNE5S_MOMENTUM|CNE5S_FOODPROD|-3.28883270E-02|20180202
CNE5S_MOMENTUM|CNE5S_HEALTH| 1.06694710E+00|20180202
CNE5S_MOMENTUM|CNE5S_BANKS| 2.94064528E+00|20180202
CNE5S_MOMENTUM|CNE5S_DVFININS| 1.13583943E+00|20180202
CNE5S_MOMENTUM|CNE5S_REALEST|-2.09850817E+00|20180202
CNE5S_MOMENTUM|CNE5S_SOFTWARE| 3.77861074E+00|20180202
CNE5S_MOMENTUM|CNE5S_HDWRSEMI| 1.27707552E+00|20180202
CNE5S_MOMENTUM|CNE5S_UTILITIE|-9.30497123E-01|20180202
CNE5S_MOMENTUM|CNE5S_COUNTRY|-1.55569357E+01|20180202
CNE5S_SIZE|CNE5S_SIZE| 2.04237511E+01|20180202
CNE5S_SIZE|CNE5S_EARNYILD| 1.74727054E+00|20180202
CNE5S_SIZE|CNE5S_RESVOL|-8.34326391E+00|20180202
CNE5S_SIZE|CNE5S_GROWTH|-8.55353118E-01|20180202
CNE5S_SIZE|CNE5S_BTOP| 1.11213900E+00|20180202
CNE5S_SIZE|CNE5S_LEVERAGE| 7.34888649E-01|20180202
CNE5S_SIZE|CNE5S_LIQUIDTY|-1.53137989E-01|20180202
CNE5S_SIZE|CNE5S_SIZENL|-2.57675176E+00|20180202
CNE5S_SIZE|CNE5S_ENERGY| 7.24987538E+00|20180202
CNE5S_SIZE|CNE5S_CHEM|-2.82455605E+00|20180202
CNE5S_SIZE|CNE5S_CONMAT| 5.41977162E+00|20180202
CNE5S_SIZE|CNE5S_MTLMIN| 6.40724833E+00|20180202
CNE5S_SIZE|CNE5S_MATERIAL|-2.84932304E+00|20180202
CNE5S_SIZE|CNE5S_AERODEF|-8.25836991E+00|20180202
CNE5S_SIZE|CNE5S_BLDPROD|-1.77075694E+00|20180202
CNE5S_SIZE|CNE5S_CNSTENG| 7.06959647E+00|20180202
CNE5S_SIZE|CNE5S_ELECEQP|-4.16596909E+00|20180202
CNE5S_SIZE|CNE5S_INDCONG|-8.01234307E+00|20180202
CNE5S_SIZE|CNE5S_MACH|-1.29649988E+00|20180202
CNE5S_SIZE|CNE5S_TRDDIST|-6.68572068E-01|20180202
CNE5S_SIZE|CNE5S_COMSERV|-5.94931300E+00|20180202
CNE5S_SIZE|CNE5S_AIRLINE| 4.01062044E-01|20180202
CNE5S_SIZE|CNE5S_MARINE| 6.33609331E+00|20180202
CNE5S_SIZE|CNE5S_RDRLTRAN| 2.32705828E+00|20180202
